State,Job,Median Salary,Description,2022,2021,2020,2019,2018
Alabama,Medical Secretary,33671,Level I(Junior/Apprentice/Entry)-30779 & LevelII(Senior)-33671,33671,26370,26528,32325,36141
Alabama,Civil Engineer,72744,Level I(Junior/Apprentice/Entry)-71553 & LevelII(Senior) -72744,72744,72516,73342,81373,73342
Alabama,Substance Abuse Counselor,43138,Level I(Junior/Apprentice/Entry)-42273 & LevelII(Senior)-43138,43138,34869,37740,43138,40287
Alabama,Speech-Language Pathologist,63746,Level I(Junior/Apprentice/Entry)-58322 & LevelII(Senior) -63746,63746,64552,66882,73748,66939
Alabama,Landscaper & Groundskeeper,18106,Level I(Junior/Apprentice/Entry)-13016 & LevelII(Senior) -18106,18106,18829,19839,24375,21242
Alabama,Radiologic Technologist ,51845,Level I(Junior/Apprentice/Entry)-50269 & LevelII(Senior) -51845,51845,53773,51845,57809,50324
Alabama,Cost Estimator,54150,Level I(Junior/Apprentice/Entry)-52574 & LevelII(Senior) -54150,54150,56172,57249,59305,54769
Alabama,Financial Advisor,69372,Level I(Junior/Apprentice/Entry)-64829 & LevelII(Senior)-69372,69372,64212,61076,70151,70151
Alabama,Marriage & Family Therapist,41016,Level I(Junior/Apprentice/Entry)-36418 & LevelII(Senior) -41016,41016,42769,41244,48729,43007
Alabama,Medical Assistant,30491,Level I(Junior/Apprentice/Entry)-27599 & LevelII(Senior)-30491,30491,27032,28282,30165,34390
Alabama,Lawyer,109826,Level I(Junior/Apprentice/Entry)-108624 & LevelII(Senior) -109826,109826,109897,108240,117005,112465
Alabama,Accountant,60874,Level I(Junior/Apprentice/Entry)-59683 & LevelII(Senior) -60874,60874,57635,58779,65373,57046
Alabama,Compliance Officer,55625,Level I(Junior/Apprentice/Entry)-54825 & LevelII(Senior) -55625,55625,56936,58581,65636,56936
Alabama,High School Teacher,49438,Level I(Junior/Apprentice/Entry)-48638 & LevelII(Senior) -49438,49438,49772,48966,57293,49689
Alabama,Clinical Laboratory Technician,40444,Level I(Junior/Apprentice/Entry)-39242 & LevelII(Senior)-40444,40444,33436,35749,41483,38516
Alabama,Maintenance & Repair Worker,29906,Level I(Junior/Apprentice/Entry)-24710 & LevelII(Senior) -29906,29906,33119,31655,38578,31826
Alabama,"Bookkeeping, Accounting, & Audit Clerk",37653,Level I(Junior/Apprentice/Entry)-35906 & LevelII(Senior)-37653,37653,31055,31059,36998,39820
Alabama,Financial Manager,102464,Level I(Junior/Apprentice/Entry)-98789 & LevelII(Senior) -102464,102464,104156,103989,112456,103370
Alabama,Recreation & Fitness Worker,25906,Level I(Junior/Apprentice/Entry)-23638 & LevelII(Senior) -25906,25906,29471,27826,36734,27897
Alabama,Insurance Agent,43946,Level I(Junior/Apprentice/Entry)-40513 & LevelII(Senior) -43946,43946,46585,46259,48652,42654
Alabama,Elementary School Teacher,55021,Level I(Junior/Apprentice/Entry)-51517 & LevelII(Senior)-55021,55021,47386,48267,55078,56058
Alabama,Dental Assistant,29850,Level I(Junior/Apprentice/Entry)-29050 & LevelII(Senior) -29850,29850,28736,30707,35005,28736
Alabama,Management Analyst,73644,Level I(Junior/Apprentice/Entry)-72626 & LevelII(Senior) -73644,73644,77575,73759,83372,74936
Alabama,Home Health Aide,24908,Level I(Junior/Apprentice/Entry)-21237 & LevelII(Senior)-24908,24908,15712,16020,24991,25106
Alabama,Pharmacy Technician,35136,Level I(Junior/Apprentice/Entry)-32925 & LevelII(Senior)-35136,35136,26308,26507,33444,34483
Alabama,Construction Manager,89864,Level I(Junior/Apprentice/Entry)-85321 & LevelII(Senior)-89864,89864,79625,83575,89372,87873
Alabama,Public Relations Specialist,52928,Level I(Junior/Apprentice/Entry)-50717 & LevelII(Senior) -52928,52928,51207,49840,55989,49840
Alabama,Middle School Teacher,47736,Level I(Junior/Apprentice/Entry)-45877 & LevelII(Senior) -47736,47736,48050,51949,56388,51949
Alabama,Massage Therapist,36640,Level I(Junior/Apprentice/Entry)-34893 & LevelII(Senior)-36640,36640,32407,31025,41244,40383
Alabama,Paramedic,35536,Level I(Junior/Apprentice/Entry)-30993 & LevelII(Senior)-35536,35536,27817,29164,35555,32599
Alabama,Preschool Teacher,27831,Level I(Junior/Apprentice/Entry)-25620 & LevelII(Senior)-27831,27831,25622,22969,30073,29888
Alabama,Hairdresser,24808,Level I(Junior/Apprentice/Entry)-23232 & LevelII(Senior)-24808,24808,20964,20681,26044,27138
Alabama,Marketing Manager,111420,Level I(Junior/Apprentice/Entry)-106224 & LevelII(Senior) -111420,111420,111314,115319,120181,115645
Alabama,Patrol Officer,57253,Level I(Junior/Apprentice/Entry)-53820 & LevelII(Senior)-57253,57253,53530,49534,58928,59734
Alabama,School Counselor,52883,Level I(Junior/Apprentice/Entry)-48202 & LevelII(Senior) -52883,52883,53612,49698,60054,49949
Alabama,Executive Assistant,50223,Level I(Junior/Apprentice/Entry)-48476 & LevelII(Senior)-50223,50223,43412,44880,47256,47891
Alabama,Financial Analyst,74054,Level I(Junior/Apprentice/Entry)-70422 & LevelII(Senior) -74054,74054,70540,73341,77377,72126
Alabama,Personal Care Aide,14818,Level I(Junior/Apprentice/Entry)-10220 & LevelII(Senior) -14818,14818,18548,14935,23421,18003
Alabama,Clinical Social Worker,49485,Level I(Junior/Apprentice/Entry)-45814 & LevelII(Senior)-49485,49485,43216,46409,53301,49420
Alabama,Business Operations Manager,99540,Level I(Junior/Apprentice/Entry)-98522 & LevelII(Senior)-99540,99540,90160,90569,97461,96115
Alabama,Loan Officer,54898,Level I(Junior/Apprentice/Entry)-51227 & LevelII(Senior) -54898,54898,53715,56241,63934,55607
Alabama,"Meeting, Convention & Event Planner",48267,Level I(Junior/Apprentice/Entry)-47076 & LevelII(Senior)-48267,48267,45502,43628,51924,51201
Alabama,Mental Health Counselor,34489,Level I(Junior/Apprentice/Entry)-31597 & LevelII(Senior) -34489,34489,37311,36959,43713,35666
Alabama,Nursing Aide,27845,Level I(Junior/Apprentice/Entry)-24922 & LevelII(Senior)-27845,27845,18974,22311,25188,28713
Alabama,Sales Representative,55316,Level I(Junior/Apprentice/Entry)-52393 & LevelII(Senior)-55316,55316,50492,48925,55487,55951
Alabama,Architect,68244,Level I(Junior/Apprentice/Entry)-67379 & LevelII(Senior) -68244,68244,69769,71864,76873,69808
Alabama,Sales Manager,100785,Level I(Junior/Apprentice/Entry)-99985 & LevelII(Senior) -100785,100785,99439,100850,105154,100459
Alabama,HR Specialist,49614,Level I(Junior/Apprentice/Entry)-47867 & LevelII(Senior) -49614,49614,51518,49614,56621,49729
Alabama,Plumber,51082,Level I(Junior/Apprentice/Entry)-49506 & LevelII(Senior)-51082,51082,46248,42769,52131,48652
Alabama,Real Estate Agent,34046,Level I(Junior/Apprentice/Entry)-30414 & LevelII(Senior) -34046,34046,35180,38268,43102,38279
Alabama,Glazier,38468,Level I(Junior/Apprentice/Entry)-36892 & LevelII(Senior)-38468,38468,36259,32360,42382,38250
Alabama,Art Director,85650,Level I(Junior/Apprentice/Entry)-80969 & LevelII(Senior)-85650,85650,76545,79613,85903,84252
Alabama,Customer Service Representative,32489,Level I(Junior/Apprentice/Entry)-30630 & LevelII(Senior)-32489,32489,26959,25834,31430,33878
Alabama,Logistician,68259,Level I(Junior/Apprentice/Entry)-63969 & LevelII(Senior) -68259,68259,68497,70728,73132,68682
Alabama,Auto Mechanic,31637,Level I(Junior/Apprentice/Entry)-26841 & LevelII(Senior) -31637,31637,34604,33257,39103,33288
Alabama,Bus Driver,38612,Level I(Junior/Apprentice/Entry)-34014 & LevelII(Senior)-38612,38612,34920,32287,40652,39395
Alabama,Restaurant Cook,17537,Level I(Junior/Apprentice/Entry)-14614 & LevelII(Senior) -17537,17537,19791,18576,26876,17790
Alabama,Child & Family Social Worker,42891,Level I(Junior/Apprentice/Entry)-38076 & LevelII(Senior)-42891,42891,35865,37176,44355,44312
Alabama,Administrative Assistant,26780,Level I(Junior/Apprentice/Entry)-23888 & LevelII(Senior) -26780,26780,30852,28366,32670,29602
Alabama,Receptionist,26531,Level I(Junior/Apprentice/Entry)-24672 & LevelII(Senior)-26531,26531,22417,20408,30536,29883
Alabama,Paralegal,42132,Level I(Junior/Apprentice/Entry)-39240 & LevelII(Senior) -42132,42132,41934,41915,51020,42049
Alabama,Cement Mason & Concrete Finisher,32608,Level I(Junior/Apprentice/Entry)-28937 & LevelII(Senior) -32608,32608,33924,33232,37359,31829
Alabama,Painter,36648,Level I(Junior/Apprentice/Entry)-31716 & LevelII(Senior)-36648,36648,30226,34765,37377,40445
Alabama,Sports Coach,29761,Level I(Junior/Apprentice/Entry)-26838 & LevelII(Senior)-29761,29761,24280,23166,32860,30781
Alabama,Teacher Assistant,26572,Level I(Junior/Apprentice/Entry)-21974 & LevelII(Senior)-26572,26572,19082,21821,24480,27113
Alabama,Brickmason & Blockmason,46040,Level I(Junior/Apprentice/Entry)-40950 & LevelII(Senior) -46040,46040,44981,43208,49108,43917
Alabama,Cashier,19848,Level I(Junior/Apprentice/Entry)-15033 & LevelII(Senior)-19848,19848,13426,14232,19695,22462
Alabama,Janitor,18838,Level I(Junior/Apprentice/Entry)-14295 & LevelII(Senior) -18838,18838,17674,19547,23270,17046
Alabama,Electrician,53001,Level I(Junior/Apprentice/Entry)-51810 & LevelII(Senior)-53001,53001,47041,46082,53001,52962
Alabama,Delivery Truck Driver,34076,Level I(Junior/Apprentice/Entry)-32885 & LevelII(Senior)-34076,34076,24084,27421,31548,32951
Alabama,Maid & Housekeeper,17079,Level I(Junior/Apprentice/Entry)-12398 & LevelII(Senior) -17079,17079,14747,17001,21558,16398
Alabama,Carpenter,37921,Level I(Junior/Apprentice/Entry)-36719 & LevelII(Senior) -37921,37921,36777,35529,45406,39019
Alabama,Security Guard,27178,Level I(Junior/Apprentice/Entry)-25602 & LevelII(Senior)-27178,27178,21007,21038,28220,26853
Alabama,Construction Worker,32342,Level I(Junior/Apprentice/Entry)-31324 & LevelII(Senior)-32342,32342,28248,24026,34048,32698
Alabama,Fabricator,40366,Level I(Junior/Apprentice/Entry)-35434 & LevelII(Senior)-40366,40366,34770,31027,39074,40366
Alabama,Telemarketer,19280,Level I(Junior/Apprentice/Entry)-16388 & LevelII(Senior) -19280,19280,20066,18638,25317,18146
Alabama,Actuary,69003,Level I(Junior/Apprentice/Entry)-66111 & LevelII(Senior) -69003,69003,71335,70298,78342,69914
Alabama,Biomedical-Engineer,63210,Level I(Junior/Apprentice/Entry)-58414 & LevelII(Senior) -63210,63210,60797,60663,70902,63189
Alabama,Aerospace Engineer,60273,Level I(Junior/Apprentice/Entry)-56602 & LevelII(Senior) -60273,60273,63201,63610,70067,64669
Alabama,Agricultural Engineer,57497,Level I(Junior/Apprentice/Entry)-56306 & LevelII(Senior) -57497,57497,57554,58018,62688,54361
Alabama,Anthropologist,56481,Level I(Junior/Apprentice/Entry)-51685 & LevelII(Senior)-56481,56481,52215,50267,59095,59138
Alabama,Baker,27734,Level I(Junior/Apprentice/Entry)-22802 & LevelII(Senior) -27734,27734,29045,28006,33567,27868
Alabama,Lab technician,45403,Level I(Junior/Apprentice/Entry)-44385 & LevelII(Senior) -45403,45403,46714,49016,52077,45675
Alabama,Chemical Engineer,72269,Level I(Junior/Apprentice/Entry)-69980 & LevelII(Senior)-72269,72269,67801,68482,74368,74325
Alabama,Biologist,50756,Level I(Junior/Apprentice/Entry)-49009 & LevelII(Senior) -50756,50756,51384,52509,59103,52932
Alabama,Biochemist,67786,Level I(Junior/Apprentice/Entry)-63188 & LevelII(Senior)-67786,67786,62605,62574,67073,69168
Alabama,Executive,71119,Level I(Junior/Apprentice/Entry)-67448 & LevelII(Senior)-71119,71119,64721,69117,73592,73592
Alabama,Clinical Researcher,58778,Level I(Junior/Apprentice/Entry)-57913 & LevelII(Senior)-58778,58778,49084,49890,59086,57411
Alabama,Military Officer,49935,Level I(Junior/Apprentice/Entry)-45645 & LevelII(Senior) -49935,49935,49764,46315,52376,48263
Alabama,Military Inspector,54895,Level I(Junior/Apprentice/Entry)-50605 & LevelII(Senior) -54895,54895,56601,54561,60511,55861
Alabama,Military Administrator,60910,Level I(Junior/Apprentice/Entry)-59163 & LevelII(Senior) -60910,60910,59765,59025,66332,57253
Alabama,Crane Operator,45681,Level I(Junior/Apprentice/Entry)-43392 & LevelII(Senior) -45681,45681,46628,45160,48293,42338
Alabama,Military Cook,50002,Level I(Junior/Apprentice/Entry)-48255 & LevelII(Senior)-50002,50002,43712,43248,47727,48382
Alabama,Auditor,61399,Level I(Junior/Apprentice/Entry)-59188 & LevelII(Senior)-61399,61399,53826,53086,61008,57583
Alabama,Security Manager,59676,Level I(Junior/Apprentice/Entry)-56001 & LevelII(Senior)-59676,59676,50296,53395,55604,59518
Alabama,Medical Administrator,145984,Level I(Junior/Apprentice/Entry)-140560 & LevelII(Senior) -145984,145984,148286,144064,152736,145817
Alabama,Court Clerk,50925,Level I(Junior/Apprentice/Entry)-47250 & LevelII(Senior)-50925,50925,48858,44527,51991,54404
Alabama,Nutritionist,42154,Level I(Junior/Apprentice/Entry)-37473 & LevelII(Senior) -42154,42154,44595,40971,46586,40590
Alabama,Economist,70252,Level I(Junior/Apprentice/Entry)-67963 & LevelII(Senior) -70252,70252,68849,67705,74267,67430
Alabama,Security Consultant,61627,Level I(Junior/Apprentice/Entry)-60762 & LevelII(Senior)-61627,61627,58577,58566,63443,64058
Alabama,Editor,75904,Level I(Junior/Apprentice/Entry)-72471 & LevelII(Senior)-75904,75904,67656,67067,77561,77152
Alabama,Reporter,63680,Level I(Junior/Apprentice/Entry)-60247 & LevelII(Senior) -63680,63680,65169,65104,69402,62536
Alabama,Fashion Designer,64747,Level I(Junior/Apprentice/Entry)-61243 & LevelII(Senior)-64747,64747,61288,58804,67569,67160
Alabama,Quantity Surveyor,71645,Level I(Junior/Apprentice/Entry)-67970 & LevelII(Senior)-71645,71645,67148,67857,73069,75461
Alabama,Fire Fighter,44791,Level I(Junior/Apprentice/Entry)-42502 & LevelII(Senior) -44791,44791,45632,43402,47668,43402
Alabama,Warden,38529,Level I(Junior/Apprentice/Entry)-33848 & LevelII(Senior) -38529,38529,40999,42008,47500,38395
Alabama,Prison administrator,71772,Level I(Junior/Apprentice/Entry)-66976 & LevelII(Senior) -71772,71772,72520,73232,76645,70628
Alabama,Food Scientist,63462,Level I(Junior/Apprentice/Entry)-60214 & LevelII(Senior)-63462,63462,54383,56864,64719,63220
Alabama,Game Designer,70901,Level I(Junior/Apprentice/Entry)-67653 & LevelII(Senior) -70901,70901,70901,67945,77692,69089
Alabama,Data Analyst,79522,Level I(Junior/Apprentice/Entry)-76089 & LevelII(Senior)-79522,79522,71209,74143,80433,76690
Alabama,Computer Security Analyst,80941,Level I(Junior/Apprentice/Entry)-77693 & LevelII(Senior) -80941,80941,77710,78004,87481,79125
Alabama,Finance Executive,91700,Level I(Junior/Apprentice/Entry)-88025 & LevelII(Senior)-91700,91700,87575,83981,93067,93973
Alabama,Lecturer,66549,Level I(Junior/Apprentice/Entry)-62259 & LevelII(Senior)-66549,66549,63890,62117,67608,70347
Alabama,Industrial Engineer,63677,Level I(Junior/Apprentice/Entry)-60429 & LevelII(Senior) -63677,63677,65409,64741,71796,64311
Alabama,Safety Administrator,63893,Level I(Junior/Apprentice/Entry)-61001 & LevelII(Senior)-63893,63893,57502,61517,63893,63117
Alabama,Interior Designer,50477,Level I(Junior/Apprentice/Entry)-45545 & LevelII(Senior) -50477,50477,52230,50969,59576,53009
Alabama,Film Director,74414,Level I(Junior/Apprentice/Entry)-71166 & LevelII(Senior) -74414,74414,70008,70889,80247,74632
Alabama,Judge,80393,Level I(Junior/Apprentice/Entry)-75461 & LevelII(Senior)-80393,80393,74648,70446,79525,80140
Alabama,Law Clerk,50218,Level I(Junior/Apprentice/Entry)-45403 & LevelII(Senior)-50218,50218,42860,42236,46319,46146
Alabama,Inteligence Analyst,63972,Level I(Junior/Apprentice/Entry)-60297 & LevelII(Senior) -63972,63972,65229,66615,71796,65981
Alabama,Jeweler,59034,Level I(Junior/Apprentice/Entry)-54436 & LevelII(Senior)-59034,59034,50696,50990,58075,59461
Alabama,Postal Officer,29537,Level I(Junior/Apprentice/Entry)-27678 & LevelII(Senior) -29537,29537,29568,29027,34207,29568
Alabama,Mail Clerk,30455,Level I(Junior/Apprentice/Entry)-28187 & LevelII(Senior) -30455,30455,32956,31064,40969,34861
Alabama,Police Director,84772,Level I(Junior/Apprentice/Entry)-79368 & LevelII(Senior)-84772,84772,76325,78929,81940,82999
Alabama,Training Officer,52315,Level I(Junior/Apprentice/Entry)-51450 & LevelII(Senior) -52315,52315,51700,53067,59238,52319
Alabama,Manufacturing Engineer,77868,Level I(Junior/Apprentice/Entry)-74435 & LevelII(Senior)-77868,77868,72252,72307,79061,82046
Alabama,Butcher,30353,Level I(Junior/Apprentice/Entry)-26063 & LevelII(Senior) -30353,30353,26957,27265,32757,29287
Alabama,Health Inspector,83128,Level I(Junior/Apprentice/Entry)-79496 & LevelII(Senior)-83128,83128,74300,72736,83022,79123
Alabama,Health Officer,78402,Level I(Junior/Apprentice/Entry)-72978 & LevelII(Senior)-78402,78402,69323,69531,76938,78160
Alabama,Health Administrator,76528,Level I(Junior/Apprentice/Entry)-74260 & LevelII(Senior)-76528,76528,66734,68682,73677,76220
Alabama,Medical Secretaries,36459,Level I(Junior/Apprentice/Entry)-31644 & LevelII(Senior)-36459,36459,28746,33305,37603,35917
Alabama,Microbiologist,31146,Level I(Junior/Apprentice/Entry)-26056 & LevelII(Senior) -31146,31146,34359,31889,41502,32027
Alabama,Midwife,31938,Level I(Junior/Apprentice/Entry)-27006 & LevelII(Senior) -31938,31938,32322,34705,40385,34368
Alabama,Weapons Specialist,64663,Level I(Junior/Apprentice/Entry)-59259 & LevelII(Senior)-64663,64663,56069,54892,63006,62496
Alabama,Municipal Clerk,36959,Level I(Junior/Apprentice/Entry)-35768 & LevelII(Senior) -36959,36959,38152,35495,44574,38152
Alabama,Music Director,64909,Level I(Junior/Apprentice/Entry)-60113 & LevelII(Senior)-64909,64909,56691,56438,66658,66030
Alabama,Music Therapist,31320,Level I(Junior/Apprentice/Entry)-30302 & LevelII(Senior) -31320,31320,33487,35392,40085,34142
Alabama,Psychiatrist,65511,Level I(Junior/Apprentice/Entry)-64309 & LevelII(Senior) -65511,65511,64877,67000,73204,66053
Alabama,Nuclear Engineer,70387,Level I(Junior/Apprentice/Entry)-69587 & LevelII(Senior) -70387,70387,69923,69866,76815,67319
Alabama,Nanotechnology Engineer,70106,Level I(Junior/Apprentice/Entry)-68904 & LevelII(Senior) -70106,70106,66754,69550,73586,67007
Alabama,Museum Technician,39241,Level I(Junior/Apprentice/Entry)-34698 & LevelII(Senior)-39241,39241,30480,33359,39202,40994
Alabama,Neurologist,72307,Level I(Junior/Apprentice/Entry)-69059 & LevelII(Senior) -72307,72307,70623,74364,80153,70359
Alabama,Diagnostician,82134,Level I(Junior/Apprentice/Entry)-80943 & LevelII(Senior)-82134,82134,78732,79367,83232,83154
Alabama,Gynecologist,76126,Level I(Junior/Apprentice/Entry)-71194 & LevelII(Senior)-76126,76126,70596,71264,73657,76087
Alabama,Peadetrician,71444,Level I(Junior/Apprentice/Entry)-67940 & LevelII(Senior)-71444,71444,67296,68567,71444,73875
Alabama,Pilot,79767,Level I(Junior/Apprentice/Entry)-77908 & LevelII(Senior) -79767,79767,79132,76662,83202,80325
Alabama,Power Plant Operator,57287,Level I(Junior/Apprentice/Entry)-51863 & LevelII(Senior) -57287,57287,60093,59099,63169,57287
Alabama,Political Analyst,74774,Level I(Junior/Apprentice/Entry)-69959 & LevelII(Senior)-74774,74774,65141,64594,73188,71952
Alabama,Private Detective,57454,Level I(Junior/Apprentice/Entry)-52639 & LevelII(Senior)-57454,57454,50682,50946,60476,58801
Alabama,Quality Control Analyst,53877,Level I(Junior/Apprentice/Entry)-50985 & LevelII(Senior) -53877,53877,55825,54783,62705,55402
Alabama,Radiology Technician,63011,Level I(Junior/Apprentice/Entry)-57921 & LevelII(Senior)-63011,63011,59935,58589,64432,65398
Alabama,Pathologist,75591,Level I(Junior/Apprentice/Entry)-70659 & LevelII(Senior)-75591,75591,67528,71325,77158,74554
Alabama,Funeral Manager,64586,Level I(Junior/Apprentice/Entry)-61082 & LevelII(Senior) -64586,64586,64030,64575,71181,63509
Alabama,Licence Officer,45423,Level I(Junior/Apprentice/Entry)-40491 & LevelII(Senior)-45423,45423,38742,38543,45423,43366
Alabama,State representative,63671,Level I(Junior/Apprentice/Entry)-58739 & LevelII(Senior) -63671,63671,65443,67216,69940,64477
Alabama,Sculptor,55730,Level I(Junior/Apprentice/Entry)-53983 & LevelII(Senior) -55730,55730,55749,58256,65741,55121
Alabama,Art Restorer,59404,Level I(Junior/Apprentice/Entry)-58202 & LevelII(Senior) -59404,59404,60180,60115,65795,58088
Alabama,Artifact Curator,50039,Level I(Junior/Apprentice/Entry)-48292 & LevelII(Senior) -50039,50039,50782,54261,57752,50865
Alabama,Tailor,38353,Level I(Junior/Apprentice/Entry)-33157 & LevelII(Senior) -38353,38353,37644,37644,42294,37601
Alabama,Shoe Maker,35495,Level I(Junior/Apprentice/Entry)-34477 & LevelII(Senior) -35495,35495,35922,34880,41029,34374
Alabama,Traffic Control Officer,37423,Level I(Junior/Apprentice/Entry)-36623 & LevelII(Senior) -37423,37423,33766,34489,43768,34238
Alabama,Meteorology Engineer,70290,Level I(Junior/Apprentice/Entry)-65692 & LevelII(Senior)-70290,70290,60596,63684,69176,68518
Alabama,Meteorology Administrator,65037,Level I(Junior/Apprentice/Entry)-62826 & LevelII(Senior) -65037,65037,65037,63973,67914,62353
Alabama,Spa Manager,34805,Level I(Junior/Apprentice/Entry)-33940 & LevelII(Senior) -34805,34805,33811,32778,40602,33459
Alabama,Surgeon,92976,Level I(Junior/Apprentice/Entry)-89543 & LevelII(Senior)-92976,92976,85361,85675,95961,94013
Alabama,Chauffeur,40372,Level I(Junior/Apprentice/Entry)-36082 & LevelII(Senior)-40372,40372,37423,34238,41029,42845
Alabama,Bank Teller,48419,Level I(Junior/Apprentice/Entry)-43876 & LevelII(Senior)-48419,48419,43749,41991,49920,51762
Alabama,Watch Repairer,37366,Level I(Junior/Apprentice/Entry)-32434 & LevelII(Senior)-37366,37366,27572,29247,36985,35841
Alabama,Writer,51569,Level I(Junior/Apprentice/Entry)-48646 & LevelII(Senior)-51569,51569,42474,40721,47010,48004
Alabama,Waiter,23900,Level I(Junior/Apprentice/Entry)-21632 & LevelII(Senior) -23900,23900,19678,22179,27994,24084
Alabama,Roofer,36099,Level I(Junior/Apprentice/Entry)-33207 & LevelII(Senior) -36099,36099,35928,38401,43107,37314
Alabama,Supply Chain Manager,74419,Level I(Junior/Apprentice/Entry)-69623 & LevelII(Senior) -74419,74419,71397,70799,77854,74977
Alabama,Property Manager,73401,Level I(Junior/Apprentice/Entry)-68311 & LevelII(Senior)-73401,73401,67005,64473,70697,74187
Alabama,Risk Assessment Manager,66680,Level I(Junior/Apprentice/Entry)-63247 & LevelII(Senior) -66680,66680,62730,62749,72143,65798
Alabama,Soil Analyst,64150,Level I(Junior/Apprentice/Entry)-59335 & LevelII(Senior) -64150,64150,63629,63629,67644,63629
Alabama,Catering Specialist,61876,Level I(Junior/Apprentice/Entry)-60858 & LevelII(Senior) -61876,61876,64263,64727,71017,63582
Alaska,Dentist,141559,Level I(Junior/Apprentice/Entry)-138126 & LevelII(Senior) -141559,141559,139246,138460,143768,140539
Alaska,Nurse,61109,Level I(Junior/Apprentice/Entry)-56019 & LevelII(Senior) -61109,61109,64043,62898,69223,64214
Alaska,Pharmacist,111551,Level I(Junior/Apprentice/Entry)-109283 & LevelII(Senior) -111551,111551,111663,108320,115621,108478
Alaska,Computer Systems Analyst,83485,Level I(Junior/Apprentice/Entry)-80052 & LevelII(Senior)-83485,83485,73874,74995,80417,79688
Alaska,Physician,181694,Level I(Junior/Apprentice/Entry)-179835 & LevelII(Senior) -181694,181694,178455,178672,186162,179837
Alaska,Database Administrator,74372,Level I(Junior/Apprentice/Entry)-73170 & LevelII(Senior) -74372,74372,71719,72467,79933,70575
Alaska,Software Developer,94954,Level I(Junior/Apprentice/Entry)-92686 & LevelII(Senior)-94954,94954,88339,84987,91106,94462
Alaska,Physical Therapist,76354,Level I(Junior/Apprentice/Entry)-72679 & LevelII(Senior) -76354,76354,77130,72734,82726,75662
